<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Vietnamese>
cn_t_62_0;␗ Objekt 166 | T-62 obr. 1964g. (№545);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_t_64a_1971_0;Objekt 434 | T-64A obr. 1971 g. Redut;;;;;;;;;;;;;;;;;;;;
ussr_t_64_b_1984_0;Objekt 447AV | T-64BV obr. 1987 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_70_1942_0;Objekt 0-70 | T-70 obr. 1942 g.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_t_72a_0;Objekt 176 | T-72A obr. 1983 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_72b_0;Objekt 184 | T-72B obr. 1989/85 gg.;;;;;;;;;;;;;;;;;;;;
ussr_t_72b_1989_0;Objekt 184 | T-72B obr. 1989 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_72av_turms_0;▄ Objekt 176V | T-72AV obr. 2003 g. (TURMS-T);;;;;;;;;;;;;;;;;;;;
ussr_t_72b3_2017_race_0;Objekt 184B | T-72B3M obr. 2014 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_72b3_2011_0;Objekt 184B | T-72B3M obr. 2016 g.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_t_80u_race_0;Objekt 219AS | T-80U obr. 1993 g. isp. Shvedskiy;;;;;;;;;;;;;;;;;;;;
ussr_t_80u_yt_cup_2019_0;␙ Objekt 219AS | T-80U obr. 1993 g. isp. Shvedskiy;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_t_80_0;Objekt 0-80 | T-80;;;;;;;;;;;;;;;;;;;;
ussr_t_80b_0;Objekt 219R | T-80B obr. 1982 g. (AGAVA);;;;;;;;;;;;;;;;;;;;
ussr_t_80ue1_shop;T-80UE-1;;;;;;;;;;;;;;;;;;;;
ussr_t_80ue1_0;Objekt 219AS-1 | T-80UE-1;;;;;;;;;;;;;;;;;;;;
ussr_t_80ue1_1;T-80UE-1;;;;;;;;;;;;;;;;;;;;
ussr_t_80ud_0;Objekt 478B | T-80UD obr. 1985 g. Bereza;;;;;;;;;;;;;;;;;;;;
ussr_t_80uk_0;Objekt 630A | T-80UK obr. 1992 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_80u_0;Objekt 219AS | T-80U obr. 1993 g. isp. Shvedskiy;;;;;;;;;;;;;;;;;;;;
ussr_t_80um2_0;Objekt 219AS | T-80UM2 obr. 1995 g.;;;;;;;;;;;;;;;;;;;;
ussr_t_80bvm_0;Objekt 219RVM | T-80BVM obr. 2017 g.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
uk_t_90s_bheeshma_0;☸ Objekt 188S | T-90S Bhishma;;;;;;;;;;;;;;;;;;;;
ussr_t_90a_0;Objekt 188A1 | Т-90А obr. 2006 g. Vladimir;;;;;;;;;;;;;;;;;;;;
ussr_t_90m_2020_0;"Objekt 188M | T-90M obr. 2017 g. ""Proryv-3""";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_bmp_1_0;Objekt 76 sp.4 | BMP-1P obr. 1979 g.;;;;;;;;;;;;;;;;;;;;
ussr_bmp_2_0;Objekt 675 | BMP-2D obr. 1982 g.;;;;;;;;;;;;;;;;;;;;
ussr_bmp_2m_0;Objekt 675 | BMP-2M obr. 2005 g.;;;;;;;;;;;;;;;;;;;;
ussr_bmp_3_0;Objekt 688A | BMP-3 obr. 2017 g.;;;;;;;;;;;;;;;;;;;;
ussr_bmd_4_0;Objekt 960 | BMD-4 obr. 2004 g.;;;;;;;;;;;;;;;;;;;;
ussr_btr_zd_0;Objekt 925S | BTR-ZD;;;;;;;;;;;;;;;;;;;;
ussr_btr_152a_0;Objekt 140A | BTR-152A (ZTPU-2);;;;;;;;;;;;;;;;;;;;
ussr_pt_76b_0;Objekt 740B | PT-76B obr. 1959 g.;;;;;;;;;;;;;;;;;;;;
cn_pt_76_0;␗ Objekt 740 | PT-76 obr. 1953 g.;;;;;;;;;;;;;;;;;;;;
ussr_asu_57_0;Objekt 572 | ASU-57 obr. 1954 g.;;;;;;;;;;;;;;;;;;;;
ussr_asu_85_0;Objekt 573 | ASU-85;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_is_1_0;Objekt 237 | IS-1 obr. 1943 g.;;;;;;;;;;;;;;;;;;;;
ussr_is_2_1944_321_0;Objekt 240 | IS-2 obr. 1944 g. (No. 321);;;;;;;;;;;;;;;;;;;;
ussr_is_2_1944_revenge_0;Objekt 240 | IS-2 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
ussr_is_2_1944_0;Objekt 240 | IS-2 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
ussr_is_2_1943_0;Objekt 240 | IS-2 obr. 1943 g.;;;;;;;;;;;;;;;;;;;;
cn_is_2_1943_no402_0;␗ Objekt 240 | IS-2 obr. 1943 g.;;;;;;;;;;;;;;;;;;;;
cn_is_2_1944_0;␗ Objekt 240 | IS-2 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
cn_is_2_1943_0;␗ Objekt 240 | IS-2 obr. 1943 g.;;;;;;;;;;;;;;;;;;;;
ussr_is_3_0;Objekt 703 | IS-3 obr. 1945 g.;;;;;;;;;;;;;;;;;;;;
ussr_is_4m_0;Objekt 701-6 | IS-4M obr. 1949 g.;;;;;;;;;;;;;;;;;;;;
ussr_is_4m_tutorial_0;Objekt 701-6 | IS-4M obr. 1949 g.;;;;;;;;;;;;;;;;;;;;
ussr_object_248_0;Objekt 248 | IS-5 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
ussr_is_6_0;Objekt 252 | IS-6;;;;;;;;;;;;;;;;;;;;
ussr_is_7_0;Objekt 260 sb.2 | IS-7 obr. 1948 g.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_su_76m_5st_kav_corps_0;SU-76M obr. 1943 g.;;;;;;;;;;;;;;;;;;;;
ussr_su_85_1943_0;Objekt 139 | SU-85 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
ussr_su_85m_0;Objekt 139 | SU-85M obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
ussr_su_100_1945_0;Objekt 138 | SU-100 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
cn_su_100_1945_0;␗ Objekt 138 | SU-100 obr. 1944 g.;;;;;;;;;;;;;;;;;;;;
ussr_su_100p_0;Objekt 105 | SU-100P;;;;;;;;;;;;;;;;;;;;
cn_isu_122_0;␗ Objekt 242 | ISU-122;;;;;;;;;;;;;;;;;;;;
ussr_su_122_54_0;Objekt 600 | SU-122-54 obr. 1956 g.;;;;;;;;;;;;;;;;;;;;
ussr_isu_122s_0;Objekt 249 | ISU-122-2 | ISU-122S obr. 1945 g.;;;;;;;;;;;;;;;;;;;;
ussr_isu_122_0;Objekt 242 | ISU-122 obr. 1945 g.;;;;;;;;;;;;;;;;;;;;
ussr_isu_152_0;Objekt 241 | 52-GPS-545 | ISU-152 obr. 1945 g.;;;;;;;;;;;;;;;;;;;;
ussr_su_152_0;Objekt 236 | SU-152 (March, 1943);;;;;;;;;;;;;;;;;;;;
cn_isu_152_0;␗ Objekt 241 | 52-GPS-545 | ISU-152 obr. 1945 g.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_it_1_0;"Objekt 150 | IT-1 ""Yaguar""";;;;;;;;;;;;;;;;;;;;
ussr_2s38_0;"2S38 ""Derivacija-PVO""";;;;;;;;;;;;;;;;;;;;
ussr_kv_85_0;Objekt 239 | KV-85;;;;;;;;;;;;;;;;;;;;
ussr_kv_220_0;Objekt 220 | KV-220;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_pzkpfw_V_0;T-VA obr. 1944 g. Panter;;;;;;;;;;;;;;;;;;;;
ussr_valentine_mk_9_shop;▂ Valentajn-IX;;;;;;;;;;;;;;;;;;;;
ussr_valentine_mk_9_0;▂ Mk III Valentajn-IX obr. 1943 g.;;;;;;;;;;;;;;;;;;;;
ussr_valentine_mk_9_1;▂ Valentajn-IX;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_9p149_0;"Objekt 49 | 9P149M ""Šturm-S""";;;;;;;;;;;;;;;;;;;;
ussr_object_120_0;Objekt 120 Taran;;;;;;;;;;;;;;;;;;;;
ussr_object_268_0;Objekt 268;;;;;;;;;;;;;;;;;;;;
ussr_object_279_0;Objekt 279 obr. 1960 g.;;;;;;;;;;;;;;;;;;;;
ussr_object_292_0;Objekt 292;;;;;;;;;;;;;;;;;;;;
ussr_object_435_0;Objekt 435;;;;;;;;;;;;;;;;;;;;
ussr_object_685_0;Objekt 685;;;;;;;;;;;;;;;;;;;;
ussr_9p157_0;"Objekt 699 sb.2 | BM 9P157-2 ""Khrizantema-S""";;;;;;;;;;;;;;;;;;;;
ussr_object_775_0;Objekt 775;;;;;;;;;;;;;;;;;;;;
ussr_object_906_0;Objekt 906 | PT-85 (UTD-20);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_object_120_1;Obj. 120;;;;;;;;;;;;;;;;;;;;
ussr_object_120_shop;Obj. 120;;;;;;;;;;;;;;;;;;;;
ussr_object_268_1;Obj. 268;;;;;;;;;;;;;;;;;;;;
ussr_object_268_shop;Obj. 268;;;;;;;;;;;;;;;;;;;;
ussr_object_279_1;Obj. 279;;;;;;;;;;;;;;;;;;;;
ussr_object_279_shop;Obj. 279;;;;;;;;;;;;;;;;;;;;
ussr_object_292_1;Obj. 292;;;;;;;;;;;;;;;;;;;;
ussr_object_292_shop;Obj. 292;;;;;;;;;;;;;;;;;;;;
ussr_object_435_1;Obj. 435;;;;;;;;;;;;;;;;;;;;
ussr_object_435_shop;Obj. 435;;;;;;;;;;;;;;;;;;;;
ussr_object_685_1;Obj. 685;;;;;;;;;;;;;;;;;;;;
ussr_object_685_shop;Obj. 685;;;;;;;;;;;;;;;;;;;;
ussr_object_775_1;Obj. 775;;;;;;;;;;;;;;;;;;;;
ussr_object_775_shop;Obj. 775;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_7_ryany_1;Ryanyy;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_7_ryany_shop;Ryanyy;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_7y_shop;Soobrazitelny;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_7y_0;Pr. 7U, Soobrazitelny, 1943;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_7y_1;Soobrazitelny;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_frunze_shop;Frunze;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_frunze_0;Novik-class, Frunze, 1940;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_frunze_1;Frunze;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_regele_ferdinand_class_letuchiy_shop;Letučij;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_regele_ferdinand_class_letuchiy_0;Regele Ferdinand-class, Letučij, 1945;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_regele_ferdinand_class_letuchiy_1;Letučij;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_7_besposhchadny_shop;Bespošadnyj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_7_besposhchadny_0;Pr. 7, Bespošadnyj, 1942;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_7_besposhchadny_1;Bespošadnyj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30bis_smelyi_shop;Smelyj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30bis_smelyi_0;Pr. 30bis, Smelyj, 1955;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30bis_smelyi_1;Smelyj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30bis_bezuprechnyi_shop;Bezuprečnyj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30bis_bezuprechnyi_0;Pr. 30bis, Bezuprečnyj, 1950;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30bis_bezuprechnyi_1;Bezuprečnyj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_kerch_shop;Kerč (1917);;;;;;;;;;;;;;;;;;;;
ussr_destroyer_kerch_0;Eskadrovyj minonosets Typ Novik, 3rd série, Tip Fidonisi, Kerč (1917);;;;;;;;;;;;;;;;;;;;
ussr_destroyer_kerch_1;Kerč (1917);;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr41_neustrashimy_shop;Neustrašimyj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr41_neustrashimy_0;Pr. 41, Neustrašimyj, 1960;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr41_neustrashimy_1;Neustrašimyj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_moskva_0;Leningrad-class, Moskva, 1941;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_moskva_shop;Moskva;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_moskva_1;Moskva;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr20_tashkent_shop;Taškent;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr20_tashkent_0;Pr. 20, Taškent, 1942;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr20_tashkent_1;Taškent;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30_ognevoy_shop;Ognevoj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30_ognevoy_0;Pr. 30, Ognevoj, 1944;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_pr30_ognevoy_1;Ognevoj;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_leningrad_shop;Leningrad;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_leningrad_0;Leningrad-class, Leningrad, 1944;;;;;;;;;;;;;;;;;;;;
ussr_destroyer_leningrad_1;Leningrad;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_shcherbakov_shop;Šerbakov;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_shcherbakov_0;Pr. 68bis-ZiF, Šerbakov;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_shcherbakov_1;Šerbakov;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_kerch_shop;Kerč (1950);;;;;;;;;;;;;;;;;;;;
ussr_cruiser_kerch_0;Legkiy kreyser Tip Emmanuil Filibert Gertsog Aostskiy, Kerč (1950);;;;;;;;;;;;;;;;;;;;
ussr_cruiser_kerch_1;Kerč (1950);;;;;;;;;;;;;;;;;;;;
ussr_cruiser_zheleznyakov_shop;Železnyakov;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_zheleznyakov_0;Pr. 68-K, Železnyakov, 1951;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_zheleznyakov_1;Železnyakov;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_chapayev_shop;Čapajev;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_chapayev_0;Pr. 68-K, Čapajev, 1950;;;;;;;;;;;;;;;;;;;;
ussr_cruiser_chapayev_1;Čapajev;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_battleship_imperatritsa_mariya_shop;Imperatritsa Mariya;;;;;;;;;;;;;;;;;;;;
ussr_battleship_imperatritsa_mariya_0;Imperatritsa Mariya-class, Imperatritsa Mariya, 1916;;;;;;;;;;;;;;;;;;;;
ussr_battleship_imperatritsa_mariya_1;Imperatritsa Mariya;;;;;;;;;;;;;;;;;;;;
ussr_battleship_poltava_0;Sevastopol-class, Poltava, 1914;;;;;;;;;;;;;;;;;;;;
ussr_battleship_parizhskaya_kommuna_0;Sevastopol-class, Parižskaya Kommuna, 1941;;;;;;;;;;;;;;;;;;;;
ussr_battleship_parizhskaya_kommuna_1;Parižskaya Kommuna;;;;;;;;;;;;;;;;;;;;
ussr_battleship_parizhskaya_kommuna_shop;Parižskaya Kommuna;;;;;;;;;;;;;;;;;;;;
ussr_battleship_marat_0;Sevastopol-class, Marat, 1941;;;;;;;;;;;;;;;;;;;;
ussr_aircraftcarrier_baku_0;Projekt 11434, Baku;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_mkl_186_0;Bronirovannyy Projekt 186, BK-521;;;;;;;;;;;;;;;;;;;;
ussr_1124_art_0;Bronirovannyy Projekt 1124, BK-121 (1942);;;;;;;;;;;;;;;;;;;;
ussr_1124_rct_0;Bronirovannyy Artillerijskiye Projekt 1124, BKA №31 (16-M-13) (1944);;;;;;;;;;;;;;;;;;;;
ussr_1124_ack_0;Bronirovannyy Projekt 1124, BK-314 (1945);;;;;;;;;;;;;;;;;;;;
ussr_pr_191m_0;Bronirovannyy Projekt 191M, BK-167;;;;;;;;;;;;;;;;;;;;
ussr_mbk_161_1944_0;Bronirovannyy Projekt 161, BK-516 (1944);;;;;;;;;;;;;;;;;;;;
ussr_bmo_0;Bronirovannyy Projekt 194, Tip BMO, BMO-318;;;;;;;;;;;;;;;;;;;;
ussr_pr_191_0;Bronirovannyy Projekt 191, BK-166;;;;;;;;;;;;;;;;;;;;
ussr_mkl_186_mk85_0;Bronirovannyy Projekt 186 (MK 85), BK-558;;;;;;;;;;;;;;;;;;;;
ussr_mbk_161_1943_0;Bronirovannyy Projekt 161, BK-501 (1943);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_pr_123bis_0;Torpednyy Katerov Projekt 123bis Komsomolets, TK-687;;;;;;;;;;;;;;;;;;;;
ussr_pr_123k_0;Torpednyy Katerov Projekt 123K, TK-1;;;;;;;;;;;;;;;;;;;;
ussr_pr_183_0;Torpednyy Katerov Projekt 183 Bolshevik, TK-20;;;;;;;;;;;;;;;;;;;;
ussr_pr_183_egypt_bm_21_0;Torpednyy Katerov Projekt 183 Bolshevik, TK-20 (A-215 Grad-M);;;;;;;;;;;;;;;;;;;;
ussr_pr_206_0;Torpednyy Katerov Projekt 206, TK-12;;;;;;;;;;;;;;;;;;;;
ussr_pr_206_race_0;Torpednyy Katerov Projekt 206, TK-12;;;;;;;;;;;;;;;;;;;;
ussr_d3_0;Torpednyy Katerov Projekt P-19-OK, Tip D-3, Syerii I, TKA №11;;;;;;;;;;;;;;;;;;;;
ussr_g5_mtb_0;Torpednyy Katerov Tip G-5, série X, TKA №12/1;;;;;;;;;;;;;;;;;;;;
ussr_pr_206m_0;Torpednyy Katerov Projekt 206M Shtorm, T-98;;;;;;;;;;;;;;;;;;;;
ussr_pr_123k_hydrofoils_0;Torpednyy Katerov Projekt 123K, TK-996 (A-10bis);;;;;;;;;;;;;;;;;;;;
ussr_g5_rct_0;Torpyednyye katerov Tip G-5, série XI, TK-412;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_mpk_122a_0;Protivolodochnyye  Korab Projekt 122A, MPK-143;;;;;;;;;;;;;;;;;;;;
ussr_mpk_163_0;Protivolodochnyye  Korab Projekt 122bis, MPK-163;;;;;;;;;;;;;;;;;;;;
ussr_skr_pr159_0;Protivolodochnyye  Korab Projekt 159, PLK-1;;;;;;;;;;;;;;;;;;;;
ussr_mpk_201m_0;Protivolodochnyye  Korab Projekt 201M, PSKR-203;;;;;;;;;;;;;;;;;;;;
ussr_mpk_201k_0;Protivolodochnyye  Korab Projekt 201, P-190;;;;;;;;;;;;;;;;;;;;
ussr_mpk_pr12412p_0;Protivolodochnyye  Korab Projekt 12412P, MPK-211;;;;;;;;;;;;;;;;;;;;
ussr_mpk_pr1331m_0;Protivolodochnyye  Korab Projekt 1331M, MPK-192;;;;;;;;;;;;;;;;;;;;
ussr_mpk_204_0;Protivolodochnyye  Korab Projekt 204, MPK-88;;;;;;;;;;;;;;;;;;;;
ussr_mpk_pr11451_0;Protivolodochnyye  Korab Projekt 11451 Sokol-2, MPK-215;;;;;;;;;;;;;;;;;;;;
ussr_mpk_pr12412_0;Protivolodochnyye  Korab Projekt 12412 Molniya-2, MPK-140;;;;;;;;;;;;;;;;;;;;
ussr_skr_pr35_0;Protivolodochnyye  Korab Projekt 35, PLK-7;;;;;;;;;;;;;;;;;;;;
ussr_mpk_122bis_0;Protivolodochnyye  Korab Projekt 122bis, MPK-173;;;;;;;;;;;;;;;;;;;;
ussr_od_200_0;Protivolodochnyye  Korab Projekt 200, Tip OD-200, MO-361;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_pr_1204_late_0;Artillerijskiye Katerov Projekt 1204 Shmel', AK-508;;;;;;;;;;;;;;;;;;;;
ussr_pr_1204_0;Artillerijskiye Katerov Projekt 1204 Shmel', AK-222;;;;;;;;;;;;;;;;;;;;
ussr_ya_5m_0;Minometnyj Katerov Tip Ya-5M, MK-25;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ussr_skr_groza_1943_0;Storozhevoy Korab Projekt 2, Tip Uragan, Syerii I , Groza (1943);;;;;;;;;;;;;;;;;;;;
ussr_skr_pr50_jenot_0;Storozhevoy Korab Projekt 50, Tip Gornostaj, Yenot;;;;;;;;;;;;;;;;;;;;
ussr_skr_pr50_jenot_shop;Yenot;;;;;;;;;;;;;;;;;;;;
ussr_skr_pr50_jenot_1;Yenot;;;;;;;;;;;;;;;;;;;;
ussr_skr_pr50plo_rosomacha_0;Storozhevoy Korab Projekt 50, Tip Gornostaj, Rosomakha;;;;;;;;;;;;;;;;;;;;
ussr_mo_4_0;Pogranichnyye Storozhevoy Korab Projekt 174, Tip MO-4, PK-216;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
weapons/su_kab_500s;<color=@userlogColoredText>500 kg</color> KAB-500S-E <color=#ff6f00>BMB-GNSS</color>;;;;;;;;;;;;;;;;;;;;
weapons/su_kab_500s/short;KAB-500S-E;;;;;;;;;;;;;;;;;;;;
weapons/su_r_73e;R-73E <color=#ff6f00>AAM-IR</color>;;;;;;;;;;;;;;;;;;;;
weapons/su_r_73e/short;R-73E;;;;;;;;;;;;;;;;;;;;
weapons/su_r_73e_default;R-73E <color=#ff6f00>AAM-IR</color>;;;;;;;;;;;;;;;;;;;;
weapons/su_r_73e_default/short;R-73E;;;;;;;;;;;;;;;;;;;;
weapons/su_r_27er;R-27ER <color=#ff6f00>AAM-SARH</color>;;;;;;;;;;;;;;;;;;;;
weapons/su_r_27er/short;R-27ER;;;;;;;;;;;;;;;;;;;;
weapons/su_r_27et;R-27ET <color=#ff6f00>AAM-IR</color>;;;;;;;;;;;;;;;;;;;;
weapons/su_r_27et/short;R-27ET;;;;;;;;;;;;;;;;;;;;
weapons/su_r_27et1;R-27ET1 <color=#ff6f00>AAM-IR</color>;;;;;;;;;;;;;;;;;;;;
weapons/su_r_27et1/short;R-27ET1;;;;;;;;;;;;;;;;;;;;
weapons/su_r_27er1;R-27ER1 <color=#ff6f00>AAM-SARH</color>;;;;;;;;;;;;;;;;;;;;
weapons/su_r_27er1/short;R-27ER1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
modification/su_fab_500_kab_500s/desc;Allows for the installation of FAB-500 bombs and KAB-500S-E GNSS-guided bombs.;;;;;;;;;;;;;;;;;;;;
modification/su_fab_500_kab_500s;FAB-500 / KAB-500S-E;;;;;;;;;;;;;;;;;;;;
modification/su_24m2_fab_500_kab_500s/desc;Allows for the installation of FAB-500 bombs and KAB-500S-E GNSS-guided bombs.;;;;;;;;;;;;;;;;;;;;
modification/su_24m2_fab_500_kab_500s;FAB-500 / KAB-500S-E;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_73e/desc;Allows installation of APU-73-1D pylons mounting R-73E air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_73e;R-73E;;;;;;;;;;;;;;;;;;;;
modification/su_27sm_r_27t_r_27et/desc;Allows installation of APU-470 pylons mounting R-27T / R-27ET air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/su_27sm_r_27t_r_27et;R-27T / ET;;;;;;;;;;;;;;;;;;;;
modification/su_27sm_r_27r_r_27er/desc;Allows installation of APU-470 pylons mounting R-27R / R-27ER air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/su_27sm_r_27r_r_27er;R-27R / ER;;;;;;;;;;;;;;;;;;;;
modification/su_r_27t1_r_27et1/desc;Allows installation of APU-470 pylons mounting R-27T / R-27ET air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/su_r_27t1_r_27et1;R-27T1 / ET1;;;;;;;;;;;;;;;;;;;;
modification/su_r_27r1_r_27er1/desc;Allows installation of APU-470 pylons mounting R-27R1 / R-27ER1 air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/su_r_27r1_r_27er1;R-27R1 / ER1;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_27er/desc;Allows installation of APU-470 pylons mounting R-27ER air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_27er;R-27ER;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_27et/desc;Allows installation of APU-470 pylons mounting R-27ET air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_27et;R-27ET;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_27et1/desc;Allows installation of APU-470 pylons mounting R-27ET1 air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_27et1;R-27ET1;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_27er1/desc;Allows installation of APU-470 pylons mounting R-27ER1 air-to-air missiles.;;;;;;;;;;;;;;;;;;;;
modification/mig_29_r_27er1;R-27ER1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
weapons/15mm_mg151_1936_naval_user_cannon;15 mm L/83 MG 151 C/36;;;;;;;;;;;;;;;;;;;;
weapons/15mm_mg151_1936_overheating_naval_user_cannon;15 mm L/83 MG 151 C/36;;;;;;;;;;;;;;;;;;;;
weapons/20mm_shvak_naval_user_cannon;20 mm 56-P-113 | ŠVAK-20 ACNN;;;;;;;;;;;;;;;;;;;;
weapons/20mm_jm61_m_vulcan_naval_user_cannon/short;20 mm JM61-M;;;;;;;;;;;;;;;;;;;;
weapons/20mm_jm61_m_vulcan_naval_user_cannon;20 mm JM61-M RCNN;;;;;;;;;;;;;;;;;;;;
weapons/20mm_jm61_rfs_vulcan_naval_user_cannon/short;20 mm JM61-RFS;;;;;;;;;;;;;;;;;;;;
weapons/20mm_jm61_rfs_vulcan_naval_user_cannon;20 mm JM61-RFS RCNN;;;;;;;;;;;;;;;;;;;;
weapons/20mm_65_breda_naval_user_cannon;20 mm L/65 Breda anti-aircraft gun;;;;;;;;;;;;;;;;;;;;
weapons/20mm_65_c30_naval_user_cannon;20 mm L/65 C/30;;;;;;;;;;;;;;;;;;;;
weapons/20mm_65_c38_naval_user_cannon;20 mm L/65 C/38;;;;;;;;;;;;;;;;;;;;
weapons/20mm_65_c38_vierling_naval_user_cannon;20 mm L/65 C/38 Flakvierling;;;;;;;;;;;;;;;;;;;;
